Date,Open,High,Low,Close,Adj Close,Volume
1995-01-13,6.229904,6.331726,6.229904,6.331726,4.045556,104123
1995-01-16,6.229904,6.430868,6.229904,6.430868,4.108900,43291
1995-01-17,6.363880,6.398714,6.363880,6.363880,4.066098,73147
1995-01-18,6.363880,6.363880,6.363880,6.363880,4.066098,111960
1995-01-19,6.363880,6.363880,6.363880,6.363880,4.066098,431792
1995-01-20,6.296892,6.363880,6.296892,6.363880,4.066098,55980
1995-01-23,6.296892,6.296892,6.264737,6.264737,4.002752,47023
1995-01-24,6.264737,6.264737,6.264737,6.264737,4.002752,4478
1995-01-25,6.296892,6.296892,6.296892,6.296892,4.023298,1120
1995-01-26,6.363880,6.430868,6.363880,6.398714,4.088355,23885
1995-01-27,6.430868,6.430868,6.363880,6.363880,4.066098,88822
1995-01-30,6.331726,6.331726,6.331726,6.331726,4.045556,24631
1995-01-31,6.331726,6.430868,6.331726,6.430868,4.108900,38813
1995-02-01,6.331726,6.363880,6.331726,6.363880,4.066098,77252
1995-02-02,6.363880,6.430868,6.331726,6.430868,4.108900,152266
1995-02-03,6.430868,6.430868,6.430868,6.430868,4.108900,153385
1995-02-06,6.430868,6.430868,6.430868,6.430868,4.108900,108974
1995-02-07,6.465702,6.465702,6.465702,6.465702,4.131155,24631
1995-02-08,6.497856,6.564845,6.497856,6.564845,4.194502,14182
1995-02-09,6.532690,6.532690,6.532690,6.532690,4.173957,18287
1995-02-10,6.564845,6.564845,6.564845,6.564845,4.194502,43664
1995-02-13,6.532690,6.599678,6.532690,6.599678,4.216758,88822
1995-02-14,6.599678,6.599678,6.599678,6.599678,4.216758,334387
1995-02-15,6.599678,6.631833,6.599678,6.631833,4.237305,86582
1995-02-16,6.666667,6.698821,6.666667,6.698821,4.280104,300799
1995-02-17,6.698821,6.698821,6.666667,6.666667,4.259558,23138
1995-02-20,6.631833,6.666667,6.631833,6.666667,4.259558,26124
1995-02-21,6.631833,6.698821,6.631833,6.631833,4.237305,5598
1995-02-22,6.631833,6.631833,6.532690,6.564845,4.194502,16048
1995-02-23,6.564845,6.698821,6.564845,6.698821,4.280104,108228
1995-02-24,6.765809,6.765809,6.733655,6.765809,4.322907,18287
1995-02-27,6.765809,6.867631,6.765809,6.832797,4.365706,14555
1995-02-28,6.832797,6.899786,6.832797,6.899786,4.408506,22019
1995-03-01,6.899786,6.899786,6.867631,6.867631,4.387962,45904
1995-03-02,6.832797,6.899786,6.832797,6.867631,4.387962,200035
1995-03-03,6.832797,6.899786,6.832797,6.899786,4.408506,153012
1995-03-06,6.899786,6.899786,6.867631,6.899786,4.408506,57846
1995-03-07,6.899786,6.899786,6.698821,6.733655,4.302359,23512
1995-03-08,6.698821,6.733655,6.698821,6.733655,4.302359,112706
1995-03-09,6.698821,6.733655,6.666667,6.733655,4.314377,318713
1995-03-10,6.666667,6.765809,6.666667,6.733655,4.314377,49636
1995-03-13,6.698821,6.765809,6.698821,6.765809,4.334982,2612
1995-03-14,6.765809,6.765809,6.698821,6.698821,4.292059,38440
1995-03-15,6.631833,6.733655,6.631833,6.698821,4.292059,189586
1995-03-16,6.733655,6.733655,6.666667,6.666667,4.271458,304158
1995-03-17,6.698821,6.733655,6.666667,6.666667,4.271458,9703
1995-03-20,6.666667,6.733655,6.666667,6.698821,4.292059,40679
1995-03-21,6.698821,6.765809,6.698821,6.698821,4.292059,548977
1995-03-22,6.698821,6.733655,6.698821,6.698821,4.292059,169806
1995-03-23,6.733655,6.733655,6.698821,6.698821,4.292059,137338
1995-03-24,6.698821,6.698821,6.698821,6.698821,4.292059,212724
1995-03-27,6.631833,6.631833,6.532690,6.532690,4.185615,113453
1995-03-28,6.599678,6.666667,6.599678,6.666667,4.271458,19780
1995-03-29,6.599678,6.698821,6.599678,6.698821,4.292059,331775
1995-03-30,6.698821,6.765809,6.698821,6.765809,4.334982,413132
1995-03-31,6.631833,6.899786,6.631833,6.899786,4.420822,11942
1995-04-03,6.899786,6.899786,6.698821,6.832797,4.377902,42172
1995-04-04,6.765809,6.765809,6.698821,6.765809,4.334982,161969
1995-04-05,6.765809,6.800643,6.765809,6.765809,4.334982,15674
1995-04-06,6.765809,6.800643,6.733655,6.765809,4.334982,32095
1995-04-07,6.698821,6.800643,6.666667,6.800643,4.357299,120170
1995-04-10,6.733655,6.765809,6.698821,6.765809,4.334982,80238
1995-04-11,6.733655,6.832797,6.698821,6.832797,4.377902,134352
1995-04-12,6.832797,6.832797,6.765809,6.765809,4.334982,53741
1995-04-13,6.800643,6.832797,6.765809,6.832797,4.377902,456424
1995-04-14,null,null,null,null,null,null
1995-04-17,6.765809,6.832797,6.765809,6.832797,4.377902,27617
1995-04-18,6.832797,6.832797,6.765809,6.832797,4.377902,41798
1995-04-19,6.800643,6.800643,6.800643,6.800643,4.357299,373
1995-04-20,6.800643,6.800643,6.765809,6.800643,4.357299,25751
1995-04-21,6.867631,6.867631,6.765809,6.765809,4.334982,8957
1995-04-24,6.832797,6.867631,6.832797,6.832797,4.377902,9330
1995-04-25,6.832797,6.899786,6.832797,6.899786,4.420822,12316
1995-04-26,6.867631,7.033762,6.867631,7.033762,4.506664,38066
1995-04-27,7.068596,7.068596,7.001608,7.001608,4.486060,42172
1995-04-28,7.033762,7.068596,7.001608,7.068596,4.528981,25378
1995-05-01,7.001608,7.033762,7.001608,7.033762,4.506664,6344
1995-05-02,7.068596,7.100750,7.068596,7.100750,4.549583,33961
1995-05-03,7.068596,7.135584,7.068596,7.135584,4.571903,48516
1995-05-04,7.100750,7.100750,7.100750,7.100750,4.549583,4852
1995-05-05,7.100750,7.100750,7.033762,7.033762,4.506664,110840
1995-05-08,7.033762,7.033762,7.033762,7.033762,4.506664,14555
1995-05-09,7.033762,7.033762,6.899786,6.899786,4.420822,11196
1995-05-10,6.966774,6.966774,6.800643,6.800643,4.357299,196676
1995-05-11,6.867631,6.867631,6.832797,6.832797,4.377902,60085
1995-05-12,6.832797,6.867631,6.832797,6.867631,4.400220,2986
1995-05-15,6.867631,6.867631,6.867631,6.867631,4.400220,1866
1995-05-16,6.867631,6.867631,6.867631,6.867631,4.400220,17167
1995-05-17,6.899786,6.934620,6.899786,6.934620,4.443141,14182
1995-05-18,6.899786,6.966774,6.899786,6.966774,4.463739,30229
1995-05-19,6.934620,6.934620,6.899786,6.899786,4.420822,22765
1995-05-22,null,null,null,null,null,null
1995-05-23,6.934620,6.966774,6.899786,6.966774,4.463739,48143
1995-05-24,6.966774,7.033762,6.966774,6.966774,4.463739,106362
1995-05-25,7.001608,7.001608,6.966774,6.966774,4.463739,7091
1995-05-26,6.934620,6.966774,6.899786,6.966774,4.463739,16048
1995-05-29,7.001608,7.001608,7.001608,7.001608,4.486060,9330
1995-05-30,7.001608,7.033762,7.001608,7.033762,4.506664,23885
1995-05-31,7.033762,7.100750,7.033762,7.100750,4.549583,211231
1995-06-01,7.100750,7.100750,7.068596,7.068596,4.528981,7091
1995-06-02,7.100750,7.167738,7.100750,7.100750,4.549583,59712
1995-06-05,7.100750,7.135584,7.068596,7.100750,4.549583,71654
1995-06-06,7.100750,7.167738,7.100750,7.100750,4.549583,6718
1995-06-07,7.167738,7.234727,7.135584,7.167738,4.592502,20899
1995-06-08,7.167738,7.234727,7.167738,7.202572,4.614820,20526
1995-06-09,7.167738,7.234727,7.167738,7.167738,4.592502,29856
1995-06-12,7.167738,7.234727,7.167738,7.234727,4.635427,30602
1995-06-13,7.269561,7.336549,7.269561,7.336549,4.714633,15674
1995-06-14,7.368703,7.403537,7.368703,7.368703,4.735295,172418
1995-06-15,7.403537,7.502680,7.403537,7.435691,4.778342,154505
1995-06-16,7.435691,7.435691,7.269561,7.301715,4.692247,8210
1995-06-19,7.403537,7.403537,7.301715,7.301715,4.692247,9703
1995-06-20,7.336549,7.403537,7.301715,7.368703,4.735295,22019
1995-06-21,7.368703,7.435691,7.368703,7.403537,4.757679,75386
1995-06-22,7.403537,7.435691,7.403537,7.403537,4.757679,16048
1995-06-23,7.403537,7.435691,7.403537,7.435691,4.778342,23885
1995-06-26,7.368703,7.435691,7.368703,7.435691,4.778342,8957
1995-06-27,7.368703,7.470525,7.368703,7.470525,4.800730,46650
1995-06-28,7.435691,7.502680,7.435691,7.470525,4.800730,5225
1995-06-29,7.435691,7.502680,7.435691,7.435691,4.778342,9703
